0,1,2,3,4,5,6,7
Order ID,Customer,Sheet No,Previous Size,Used Size,Left Size,Updated At,Cutter
001,Forbes Marshall P.Ltd (Chakan),,,,,,
,,1,4826.0,4821.6,4.4,2023-09-20 10:51:02.719059+00:00,
002,Forbes Marshall P.Ltd (Chakan),,,,,,
RHPL/PUR/0530,RASHMI HEATERS PVT.LTD.,,,,,,
,,3,4826.0,4826.0,0.0,2023-09-22 06:27:31.620574+00:00,
,,4,4826.0,2712.51,2113.49,2023-09-22 06:55:33.156360+00:00,
0234398,EagleBurgmann India Pvt. Ltd.,,,,,,
,,16,4900.0,4900.0,0.0,2023-09-22 05:42:01.220984+00:00,
02343563,EagleBurgmann India Pvt. Ltd.,,,,,,
50045013427,Forbes Marshall P.Ltd (Chakan),,,,,,
5007501025 - 5 - 1482,Forbes Marshall P.Ltd (Chakan),,,,,,
50045013467,Forbes Marshall P.Ltd (Chakan),,,,,,
,,14,4900.0,4900.0,0.0,2023-09-23 12:13:18.938039+00:00,
24-130-1306851,Forbes Marshall P.Ltd (Chakan),,,,,,
"50045013467, DRG NO : 24 - 130 - 1317932",Forbes Marshall P.Ltd (Chakan),,,,,,
,,4,2113.49,1123.75,989.74,2023-09-27 14:01:38.729840+00:00,Manjesh
50045013002 / 50045013467,Forbes Marshall P.Ltd (Chakan),,,,,,
13883,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
50045013647,Forbes Marshall P.Ltd (Chakan),,,,,,
1710073955,DelVal Flow Controls Pvt Ltd.,,,,,,
02343718,EagleBurgmann India Pvt. Ltd.,,,,,,
,,44,4900.0,2212.16,2687.84,2023-09-27 10:41:32.125613+00:00,Manjesh
1234567,Forbes Marshall P.Ltd (Chakan),,,,,,
13911,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
,,86,4614.05,94.86,4519.19,2023-09-30 11:45:10.414102+00:00,Manjesh
13911_YUGL 30,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
5007501025-5-1487 DB 1,Forbes Marshall P.Ltd (Chakan),,,,,,
5007501025-5-1487 DB 2,Forbes Marshall P.Ltd (Chakan),,,,,,
300000062,BAJEL PROJECTS LIMITED,,,,,,
,,72,3778.91,3777.0,1.91,2023-10-25 11:58:32.525104+00:00,Manjesh
,,72,1.91,1.0,0.91,2023-10-25 11:58:59.898684+00:00,Manjesh
,,73,3778.91,3777.0,1.91,2023-10-25 12:00:09.403990+00:00,Manjesh
,,74,3778.91,3777.0,1.91,2023-10-25 12:00:35.610712+00:00,Manjesh
,,75,3778.91,3777.0,1.91,2023-10-25 12:01:00.027188+00:00,Manjesh
,,76,3778.91,3777.0,1.91,2023-10-25 12:01:19.315017+00:00,Manjesh
,,78,3778.91,3777.0,1.91,2023-10-25 12:02:10.621788+00:00,Manjesh
,,79,3778.91,0.0,3778.91,2023-10-25 12:02:37.239921+00:00,Manjesh
,,80,3778.91,3777.0,1.91,2023-10-25 12:02:55.509296+00:00,Manjesh
,,77,3778.91,3777.0,1.91,2023-10-25 12:01:44.884591+00:00,Manjesh
,,87,4614.05,4613.0,1.05,2023-10-25 12:04:14.626732+00:00,Manjesh
,,88,4614.05,4613.0,1.05,2023-10-25 12:04:41.180727+00:00,Manjesh
CHAMUNDA DEVI,RAVIRAJ ANODISERS,,,,,,
,,4,989.74,96.72,893.02,2023-10-02 12:03:37.721910+00:00,Manjesh
5007501025-5-1487,Forbes Marshall P.Ltd (Chakan),,,,,,
5007501025-5-1487 SLR open,Forbes Marshall P.Ltd (Chakan),,,,,,
02343776/2.10.2023,EagleBurgmann India Pvt. Ltd.,,,,,,
5007501025-5-1487 SLR,Forbes Marshall P.Ltd (Chakan),,,,,,
,,4,893.02,892.0,1.02,2023-10-02 13:26:54.932682+00:00,Manjesh
14109 / 2/10,Forbes Marshall P.Ltd (Chakan),,,,,,
,,12,4826.0,2257.19,2568.81,2023-10-03 10:32:52.851297+00:00,Manjesh
14109/2.10.,Forbes Marshall P.Ltd (Chakan),,,,,,
Logo Plate Size : 207 x 81 x 1.5,Hydroteck Engineering Company,,,,,,
13980,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
74334 / 2.10.23,DelVal Flow Controls Pvt Ltd.,,,,,,
,,12,2568.81,1673.23,895.58,2023-10-06 08:39:04.565324+00:00,Ranjeet
50045014109,Forbes Marshall P.Ltd (Chakan),,,,,,
,,15,4900.0,4899.0,1.0,2023-10-04 13:20:31.153342+00:00,Manjesh
"50045014109 , Balance",Forbes Marshall P.Ltd (Chakan),,,,,,
50045014298 and 14109,Forbes Marshall P.Ltd (Chakan),,,,,,
,,25,4900.0,826.77,4073.23,2023-10-06 08:46:38.306787+00:00,Ranjeet
023D4153 25/08,INTERVALVE POONAWALA LTD,,,,,,
,,89,4614.05,4613.0,1.05,2023-10-07 05:32:47.535773+00:00,Ranjeet
14006 HYT,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
"50045014109 , Drg No 9597  and Drg No 9598",Forbes Marshall P.Ltd (Chakan),,,,,,
,,32,4900.0,4899.0,1.0,2023-10-07 10:45:00.524637+00:00,Lakhan
50045014530,Forbes Marshall P.Ltd (Chakan),,,,,,
,,107,4921.26,4920.0,1.26,2023-10-07 12:37:16.779709+00:00,Manjesh
,,108,4921.26,4920.26,1.0,2023-10-07 12:36:35.191831+00:00,Manjesh
VEL-0122-2023-24_Drg No 1837,Viswasuta Engineering LLP,,,,,,
,,110,4921.26,511.81,4409.45,2023-10-07 10:10:57.996018+00:00,Ranjeet
023d415325/8 7.10.2023,INTERVALVE POONAWALA LTD,,,,,,
,,90,4614.05,2458.3,2155.75,2023-10-07 12:41:06.261070+00:00,Ranjeet
50045014109/2.10.2023,Forbes Marshall P.Ltd (Chakan),,,,,,
,,111,4921.26,3582.68,1338.58,2023-10-08 09:09:18.154119+00:00,Manjesh
"Sr No 23J034, 23J033A, 23J033B, 200 X 125 ,  NOS",Manjushree Fintube Pvt Ltd.,,,,,,
PROCESS IN to FF01 0.5 Um,SHAVO TECHNOLOGIES PVT LTD,,,,,,
20 X 58 ARKA FM,Forbes Marshall P.Ltd (Chakan),,,,,,
,,133,4921.26,1909.45,3011.81,2023-10-09 10:53:42.600304+00:00,Manjesh
,,12,895.58,894.0,1.58,2023-10-09 07:02:02.150056+00:00,Manjesh
"02343937, 150 x 150 x 1.2 mm",EagleBurgmann India Pvt. Ltd.,,,,,,
,,48,1550.0,1549.0,1.0,2023-10-11 11:48:37.118042+00:00,Manjesh
"02343938, 250 x 150 x 1 mm",EagleBurgmann India Pvt. Ltd.,,,,,,
,,44,2687.84,2509.84,178.0,2023-10-11 11:57:33.631371+00:00,Manjesh
,,45,4900.0,3610.89,1289.11,2023-10-11 11:51:32.388632+00:00,Manjesh
55 X 20 Eaglebugman,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
,,109,4921.26,4290.0,631.26,2023-10-10 07:26:41.906172+00:00,Manjesh
,,111,1338.58,255.91,1082.67,2023-10-11 12:01:16.147735+00:00,Manjesh
50045012494 and 50045014109,Forbes Marshall P.Ltd (Chakan),,,,,,
,,25,4073.23,4073.0,0.23,2023-10-11 06:02:29.095109+00:00,Ranjeet
,,100,4921.26,4921.0,0.26,2023-10-11 06:01:25.592320+00:00,Lakhan
1710074819,DelVal Flow Controls Pvt Ltd.,,,,,,
,,133,3011.81,1535.43,1476.38,2023-10-11 06:03:49.684970+00:00,Lakhan
"24-130-1316678, 50045014109",Forbes Marshall P.Ltd (Chakan),,,,,,
,,110,4409.45,4409.0,0.45,2023-10-13 06:02:25.267012+00:00,Ranjeet
,,111,1082.67,1082.0,0.67,2023-10-13 06:03:23.154876+00:00,Ranjeet
"50045013467, Drg No 24-130-1306851",Forbes Marshall P.Ltd (Chakan),,,,,,
,,33,4900.0,4899.0,1.0,2023-10-14 10:17:36.154242+00:00,Ranjeet
"02343982, EAGLE",EagleBurgmann India Pvt. Ltd.,,,,,,
,,42,4608.0,813.13,3794.87,2023-10-13 06:12:22.600503+00:00,Ranjeet
74891 / 11.10.2023,DelVal Flow Controls Pvt Ltd.,,,,,,
,,133,1476.38,984.25,492.13,2023-10-13 06:17:00.049267+00:00,Ranjeet
50045013467 _ 13.10.2023,Forbes Marshall P.Ltd (Chakan),,,,,,
,,102,4921.26,4921.0,0.26,2023-10-13 10:43:01.731636+00:00,Manjesh
50045014109   Drg No24-130-1266602,Forbes Marshall P.Ltd (Chakan),,,,,,
,,112,4921.26,2165.35,2755.91,2023-10-14 11:12:44.656215+00:00,Ranjeet
POFS000057742/13.10.2023,HRS PROCESS SYSTEMS LTD.,,,,,,
,,52,3048.0,43.31,3004.69,2023-10-14 10:07:03.297435+00:00,Manjesh
"485x350, 265 x 450, 300 x 225, 300 x 100,",Hydroteck Engineering Company,,,,,,
"2587,  235 x 80,   8+8 = 16 Nos",METAFOLD ENGG.PVT.LTD.,,,,,,
,,85,3472.01,558.0,2914.01,2023-10-16 09:47:57.235562+00:00,Manjesh
50045013647 top side,Forbes Marshall P.Ltd (Chakan),,,,,,
,,133,492.13,491.0,1.13,2023-10-16 06:23:03.115768+00:00,Ranjeet
RHPL / PUR / 0604,RASHMI HEATERS PVT.LTD.,,,,,,
,,90,2155.75,510.57,1645.18,2023-10-16 06:23:46.594088+00:00,Ranjeet
"50045015321,  size : 200 x 16 mm",Forbes Marshall P.Ltd (Chakan),,,,,,
,,134,4921.26,826.77,4094.49,2023-10-16 09:45:04.007069+00:00,Manjesh
Drawing Number :1316150,Forbes Marshall P.Ltd (Chakan),,,,,,
,,112,2125.99,649.61,1476.38,2023-10-16 11:22:07.179788+00:00,Manjesh
PO NO 1030 AND 1031,SS Techno Limited,,,,,,
,,112,2755.91,629.92,2125.99,2023-10-16 09:48:31.110596+00:00,Ranjeet
AP / JPO / CA/ 01441/23.24,Ador Powertron Ltd,,,,,,
1710073605 delval,DelVal Flow Controls Pvt Ltd.,,,,,,
,,134,4094.49,629.92,3464.57,2023-10-17 11:24:52.650384+00:00,Ranjeet
15321,Forbes Marshall P.Ltd (Chakan),,,,,,
,,112,1476.38,639.76,836.62,2023-10-16 13:15:14.387312+00:00,Manjesh
02344071   115 x 115 x 0.7 = 100 Nos,EagleBurgmann India Pvt. Ltd.,,,,,,
