Material outward,,,,
#,Date,Project Order No,RRA Invoice No,Customer Name
825,2024-08-23,sdsdswedwddc,dc dc,RASHMI HEATERS PVT.LTD.
,Item Code,Quantity,Amount
,30035342 ( SIZE : 275 X 225 X 1 MM THK),34,3434
,Project Total,34,3434
824,2024-08-23,sdsdsdfedfe,ededd4ef,EagleBurgmann India Pvt. Ltd.
,Item Code,Quantity,Amount
,Project Total,0,0
823,2024-08-23,sdsdswdsd,232ws,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,Project Total,0,0
822,2024-08-23,sdsds,23,RASHMI HEATERS PVT.LTD.
,Item Code,Quantity,Amount
,Project Total,0,0
821,2024-08-21,ignore,,RASHMI HEATERS PVT.LTD.
,Item Code,Quantity,Amount
,24-130-1011017 ( DV 3 ),100,
,24-130-1006126  ( DV 1 ),56,
,Project Total,156,0
820,2024-08-21,sdsdsdtryu,,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,467000007000,456,
,24-130-1316148,45678,
,Project Total,46134,0
819,2024-07-28,SCPL/PO/24-25/0466,,SDTORK CONTROLS PVT LTD
,Item Code,Quantity,Amount
,SS 304 SIZE : 125 X 60 X 0.8 MM THK,116,
,SS 304 SIZE : 125 X 60 X 0.8 MM THK,4,
,SS 304 SIZE : 125 X 60 X 0.8 MM THK,36,
,SS 304 SIZE : 125 X 60 X 0.8 MM THK,24,
,Project Total,180,0
818,2024-07-28,EMAIL-24.07.2024,,Sonali Enterprises
,Item Code,Quantity,Amount
,ALU. SIZE : 149 X 60 X 1 MM THK,20,
,Project Total,20,0
817,2024-07-28,1710089999,,DelVal Flow Controls Pvt Ltd.
,Item Code,Quantity,Amount
,5003NC0066000YB1,2400,
,Project Total,2400,0
816,2024-07-28,PP/24-25/02/112/M,,Pilon Engineering Pvt. Ltd.
,Item Code,Quantity,Amount
,SS 304 SIZE : 115 X 60 X 1 MM THK,2,
,SS 304 SIZE : 115 X 75 X 1 MM THK,9,
,SS 304 SIZE : 800 X 120 X 1 MM THK,1,
,Project Total,12,0
815,2024-07-26,13555,,HYT ENGINEERING COMPANY PVT LTD.
,Item Code,Quantity,Amount
,NGUF -229,4,
,AJTB - 78,1,
,WINCH - 55,1,
,WINCH - 56,1,
,Project Total,7,0
814,2024-07-26,3000003240,,BAJEL PROJECTS LIMITED
,Item Code,Quantity,Amount
,MG 0059 NAME PLATES 120 mm (L),8000,
,Project Total,8000,0
813,2024-07-26,50055008563,,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,24-130-1319595,3000,
,24-254-1041143,2000,
,24-130-1006126  ( DV 1 ),1000,
,24-130-1006128 ( DV-2 ),1000,
,24-130-1225141,50,
,24-130-1316148,500,
,24-130-1319355,400,
,24-254-1333615,300,
,24-130-1128847,1,
,24-130-1285228,1,
,Project Total,8252,0
812,2024-07-24,FIPL/PO/24-25/0271,,"Fabxotic India Private Limited,"
,Item Code,Quantity,Amount
,SS 304 SIZE : 115 X 115 X 0.8 MM THK,8,
,Project Total,8,0
811,2024-07-24,24PO0011,,R S Industrial Solutions
,Item Code,Quantity,Amount
,SS 316 SIZE : 140 X 140 X 1.5 MM THK,4,
,SS 316 SIZE : 300 X 240 X 1.5 MM THK,2,
,Project Total,6,0
810,2024-07-23,Ref for 3000 tags,,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,RRA1,3300,
,Project Total,3300,0
809,2024-07-24,RRA24.07.2024,,EagleBurgmann India Pvt. Ltd.
,Item Code,Quantity,Amount
,SS 304 SIZE : 115 X 155 X 0.8 MM THK,100,
,Project Total,100,0
808,2024-07-23,VEL-0118-2024-25,,Viswasuta Engineering LLP
,Item Code,Quantity,Amount
,SS 304 SIZE : 140 X 70 X 0.8 MM THK,100,
,Project Total,100,0
806,2024-07-23,4500108817,,Praj Industries Ltd.
,Item Code,Quantity,Amount
,2461 - SS 304 SIZE : 240 X 170 X 2 MM THK,1,
,2467 - SS 304 SIZE : 230 X 130 X 2 MM THK,1,
,Project Total,2,0
805,2024-07-23,4500773829,,Kelvion India Private Limited
,Item Code,Quantity,Amount
,SS 304 SIZE : 215 X 115 X 0.8 MM THK,1,
,SS 304 SIZE : 160 X 160 X 2 MM THK,1,
,SS 304 SIZE : 160 X 160 X 2 MM THK,2,
,Project Total,4,0
804,2024-07-23,EMAIL-15.07.2024,,EagleBurgmann India Pvt. Ltd.
,Item Code,Quantity,Amount
,SS 316 SIZE : 115 X 115 X 0.8 MM THK,18,
,Project Total,18,0
802,2024-07-21,EMAIL-18.07.2024,,EagleBurgmann India Pvt. Ltd.
,Item Code,Quantity,Amount
,SS 304 SIZE : 1200 X 60 X 3 MM THK,1,
,SS 304 SIZE : 90 X 30 X 1 MM THK,116,
,SS 304 SIZE : 90 X 30 X 1 MM THK,14,
,SS 304 SIZE : 75 X 25 X 1 MM THK,6,
,Project Total,137,0
801,2024-07-21,SCPL/PO/24-25/0446,,SDTORK CONTROLS PVT LTD
,Item Code,Quantity,Amount
,SS 304 SIZE : 125 X 60 X 0.5 MM THK,28,
,SS 304 SIZE : 90 X 50 X 0.8 MM THK,28,
,SS 304 SIZE : 165 X 45 X 0.8 MM THK,32,
,SS 304 SIZE : 125 X 60 X 0.5 MM THK,10,
,SS 304 SIZE : 90 X 50 X 0.8 MM THK,42,
,Project Total,140,0
800,2024-07-21,50055008239,,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,24-254-1041143,1000,
,24-130-1028334,500,
,24-130-1012587,17,
,24-130-1111611,15,
,24-130-1111612,17,
,24-130-1111613,115,
,24-130-1181920,35,
,24-130-1225141,50,
,24-130-1300748,1000,
,24-130-1316148,500,
,24-130-1319344,130,
,24-130-1319597,1200,
,Project Total,4579,0
799,2024-07-20,EMAIL-20.07.2024,,Hydroteck Engineering Company
,Item Code,Quantity,Amount
,SS 304 SIZE : 373 X 450 X 1.5 MM THK,1,
,SS 304 SIZE : 373 X 450 X 1.5 MM THK,1,
,SS 304 SIZE : 400 X 300 X 1.5 MM THK,2,
,SS 304 SIZE : 400 X 400 X 1.5 MM THK,2,
,SS 304 SIZE : 400 X 120 X 1.5 MM THK,2,
,Project Total,8,0
798,2024-07-20,41054000775-7,,Forbes Marshall ARCA Pvt Ltd.
,Item Code,Quantity,Amount
,20-059-1037446,350,
,Project Total,350,0
797,2024-07-19,HYT-13296,,HYT ENGINEERING COMPANY PVT LTD.
,Item Code,Quantity,Amount
,DEFCD - 16,1,
,WINCH 53,1,
,WINCH 54,1,
,VTL - 101,1,
,VTL - 103,1,
,VTL -105,1,
,SHUNTER 58,1,
,SHUNTER 59,1,
,Project Total,8,0
795,2024-07-17,02442332,,EagleBurgmann India Pvt. Ltd.
,Item Code,Quantity,Amount
,SS 304 SIZE : 1200 X 60 X 3 MM THK,1,
,SS 304 SIZE : 90 X 30 X 1 MM THK,122,
,SS 304 SIZE : 90 X 30 X 1 MM THK,15,
,SS 304 SIZE : 75 X 25 X 1 MM THK,6,
,Project Total,144,0
794,2024-07-16,POFS000061335/16.07.2024,,HRS PROCESS SYSTEMS LTD.
,Item Code,Quantity,Amount
,SS 304 SIZE : 105 X 75 X 0.8 MM THK,31,
,Project Total,31,0
793,2024-07-15,41054000775-6,,Forbes Marshall  Arca Pvt Ltd
,Item Code,Quantity,Amount
,20-059-1042366,200,
,Project Total,200,0
792,2024-07-15,50055007857,,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,24-130-1006192,500,
,24-254-1041143,2000,
,24-130-1028334,500,
,24-130-1028337,700,
,24-130-1006047,200,
,24-130-1006126  ( DV 1 ),1000,
,24-130-1006128 ( DV-2 ),1000,
,24-130-1225141,50,
,24-130-1300748,1000,
,24-130-1306851,2000,
,24-130-1316149,500,
,24-130-1316678,1500,
,24-130-1319355,400,
,24-130-1319604,700,
,24-130-1331042,200,
,24-130-1316148,1000,
,24-130-1006130,10,
,Project Total,13260,0
791,2024-07-14,AEPL/24-25/1137,,Autoshell Electromech Pvt.Ltd.
,Item Code,Quantity,Amount
,SS 304 SIZE : 95 X 65 X 0.8 MM THK,240,
,SS 304 SIZE : 95 X 95 X 0.8 MM THK,480,
,Project Total,720,0
790,2024-07-13,AP/OPO/CA/00268/24-25,,Ador Powertron Ltd
,Item Code,Quantity,Amount
,SS 304 SIZE : 150 X 60 X 1 MM THK,224,
,Project Total,224,0
789,2024-07-13,POFS000062234,,HRS PROCESS SYSTEMS LTD.
,Item Code,Quantity,Amount
,SS 304 SIZE : 230 X 200 X 3 MM THK,1,
,SS 304 SIZE : 150 X 110 X 2 MM THK,1,
,Project Total,2,0
788,2024-07-13,Z1PR/7000066015,,ElectroMech Material Handling Systems (India) Pvt. Ltd.
,Item Code,Quantity,Amount
,SS 316 SIZE : 320 X 170 X 3 MM THK,1,
,SS 316 SIZE : 320 X 120 X 3 MM THK,1,
,Project Total,2,0
787,2024-07-13,SAMPLE-13.07.2024,,RAVIRAJ ANODISERS
,Item Code,Quantity,Amount
,Project Total,0,0
786,2024-07-13,50055007527,,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,24-130-1176449,25,
,24-130-1300782,25,
,24-130-1317932,73,
,24-130-1006192,500,
,24-130-1319604,700,
,24-130-1300748,1000,
,24-130-1028334,500,
,24-130-1028333,700,
,24-130-1028337,700,
,24-130-1225141,50,
,24-130-1006128 ( DV-2 ),1000,
,24-130-1006126  ( DV 1 ),1000,
,Project Total,6273,0
785,2024-07-10,50055007376,,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,24-130-1285866,90,
,24-130-1319354,216,
,Project Total,306,0
784,2024-07-10,AP/JPO/CA/00654/24-25,,Ador Powertron Ltd
,Item Code,Quantity,Amount
,SS 304 SIZE : 200 X 160 X 1 MM THK,6,
,SS 304 SIZE : 200 X 160 X 1 MM THK,6,
,Project Total,12,0
783,2024-07-08,AP/JPO/CA/00631/24-25,,Ador Powertron Ltd
,Item Code,Quantity,Amount
,ALU.SIZE : 180 X 150 X 1 MM THK,3,
,SS 304 SIZE : 150 X 90 X 1 MM THK,3,
,SS 304 SIZE : 180 X 150 X 1 MM THK,3,
,ALU.SIZE : 180 X 150 X 1 MM THK,1,
,ALU.SIZE : 180 X 150 X 1 MM THK,8,
,Project Total,18,0
782,2024-07-08,50055007083,,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,24-254-1041143,4000,
,24-254-1041143,255,
,24-130-1311819,360,
,24-254-1333615,300,
,24-130-1321383,400,
,Project Total,5315,0
781,2024-07-07,1710088901,,DelVal Flow Controls Pvt Ltd.
,Item Code,Quantity,Amount
,6502N10066000002,258,
,6502N10066000002,185,
,Project Total,443,0
780,2024-07-07,POFS000061799,,HRS PROCESS SYSTEMS LTD.
,Item Code,Quantity,Amount
,SS 304 SIZE : 220 X 165 X 3 MM THK,2,
,Project Total,2,0
779,2024-07-07,0149007310125019,,GAS PROCESSING EQUIPMENT PVT LTD
,Item Code,Quantity,Amount
,SS 316 SIZE : 210 X 125 X 2 MM THK,3,
,SS 316 SIZE : 150 X 115 X 2 MM THK,2,
,Project Total,5,0
778,2024-07-07,4501759418,,CG Power and Industrial Solutions Limited
,Item Code,Quantity,Amount
,SS 304 SIZE : 223 X 120 X 0.5 MM THK,8,
